Date,Close
2011/6/24,"3,027.47"
2011/6/27,"3,036.49"
2011/6/28,"3,041.73"
2011/6/29,"3,000.17"
2011/6/30,"3,044.09"
2011/7/1,"3,049.75"
2011/7/4,"3,121.98"
2011/7/5,"3,122.50"
2011/7/6,"3,113.71"
2011/7/7,"3,101.68"
2011/7/8,"3,109.18"
2011/7/11,"3,113.21"
2011/7/12,"3,056.91"
2011/7/13,"3,106.25"
2011/7/14,"3,115.75"
2011/7/15,"3,128.89"
2011/7/18,"3,122.60"
2011/7/19,"3,095.13"
2011/7/20,"3,091.57"
2011/7/21,"3,059.14"
2011/7/22,"3,067.99"
2011/7/25,"2,968.29"
2011/7/26,"2,977.77"
2011/7/27,"3,000.05"
2011/7/28,"2,981.00"
2011/7/29,"2,972.08"
2011/8/1,"2,977.72"
2011/8/2,"2,956.38"
2011/8/3,"2,954.87"
2011/8/4,"2,960.31"
2011/8/5,"2,897.42"
2011/8/8,"2,793.90"
2011/8/9,"2,798.19"
2011/8/10,"2,824.12"
2011/8/11,"2,866.92"
2011/8/12,"2,875.37"
2011/8/15,"2,917.88"
2011/8/16,"2,897.58"
2011/8/17,"2,886.01"
2011/8/18,"2,834.25"
2011/8/19,"2,807.66"
2011/8/22,"2,777.79"
2011/8/23,"2,821.00"
2011/8/24,"2,810.02"
2011/8/25,"2,903.84"
2011/8/26,"2,901.22"
2011/8/29,"2,852.81"
2011/8/30,"2,841.74"
2011/8/31,"2,846.78"
2011/9/1,"2,834.54"
2011/9/2,"2,803.85"
2011/9/5,"2,743.82"
2011/9/6,"2,723.30"
2011/9/7,"2,779.09"
2011/9/8,"2,756.11"
2011/9/9,"2,751.10"
2011/9/13,"2,720.28"
2011/9/14,"2,733.11"
2011/9/15,"2,729.05"
2011/9/16,"2,733.99"
2011/9/19,"2,679.27"
2011/9/20,"2,689.85"
2011/9/21,"2,771.01"
2011/9/22,"2,685.69"
2011/9/23,"2,669.48"
2011/9/26,"2,610.92"
2011/9/27,"2,637.88"
2011/9/28,"2,610.59"
2011/9/29,"2,588.19"
2011/9/30,"2,581.35"
2011/10/10,"2,557.08"
2011/10/11,"2,551.99"
2011/10/12,"2,644.76"
2011/10/13,"2,662.60"
2011/10/14,"2,653.78"
2011/10/17,"2,666.95"
2011/10/18,"2,592.21"
2011/10/19,"2,583.08"
2011/10/20,"2,520.53"
2011/10/21,"2,507.88"
2011/10/24,"2,576.67"
2011/10/25,"2,625.43"
2011/10/26,"2,651.65"
2011/10/27,"2,657.48"
2011/10/28,"2,709.02"
2011/10/31,"2,695.31"
2011/11/1,"2,697.53"
2011/11/2,"2,742.39"
2011/11/3,"2,744.30"
2011/11/4,"2,763.75"
2011/11/7,"2,736.25"
2011/11/8,"2,727.71"
2011/11/9,"2,751.65"
2011/11/10,"2,699.59"
